Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
M,0.515,0.35,medium,0.9225,0.4185,0.198,0.273,9
M,0.56,0.415,small,0.7615,0.3695,0.17,0.1955,8
F,0.55,0.445,medium,0.9905,0.544,0.17800000000000002,0.218,9
I,0.655,0.515,medium,1.25,0.5265,0.28300000000000003,0.315,15
I,0.405,0.31,tiny,0.91,0.41600000000000004,0.2075,0.0995,8
M,0.295,0.23,tiny,0.125,0.042,0.0285,0.043,8
F,0.485,0.37,tiny,0.4785,0.1995,0.0955,0.129,7
M,0.455,0.35,tiny,0.41600000000000004,0.1625,0.09699999999999999,0.145,11
I,0.355,0.27,tiny,0.21600000000000003,0.083,0.037000000000000005,0.075,10
I,0.515,0.4,small,0.659,0.2705,0.179,0.17,13
I,0.37,0.28,tiny,0.218,0.0995,0.0545,0.0615,7
F,0.53,0.415,medium,0.7775,0.237,0.1415,0.33,20
M,0.57,0.445,medium,0.9875,0.504,0.207,0.249,8
M,0.6,0.465,medium,1.038,0.4975,0.2205,0.251,9
I,0.475,0.365,tiny,,0.23199999999999998,0.0885,0.156,10
M,0.53,0.41,medium,0.7155,0.2805,0.1685,0.214,11
M,0.46,0.345,tiny,0.4595,0.235,0.0885,0.11599999999999999,7
I,0.5,0.385,tiny,0.596,0.3015,0.10400000000000001,0.151,8
M,0.715,0.52,large,1.6,0.708,0.3525,0.445,12
F,0.585,0.455,large,0.9945,0.4255,0.263,0.2845,11
F,0.65,0.59,large,1.662,0.77,0.37799999999999995,0.435,11
I,0.435,0.335,tiny,,0.156,0.05,0.1135,7
I,0.435,0.355,small,0.4075,0.1535,0.07400000000000001,0.165,9
M,0.595,0.46,large,,0.57,0.2555,0.265,10
I,0.57,0.44,medium,,0.3425,0.16,0.22399999999999998,8
M,0.63,0.515,medium,1.3519999999999999,0.488,0.349,0.45,20
M,0.635,0.525,large,1.4065,0.684,0.3,0.3745,10
I,0.39,0.29,tiny,0.2745,0.135,0.0455,0.078,8
F,0.67,0.55,medium,1.5659999999999998,0.858,0.33899999999999997,0.354,10
I,0.255,0.185,tiny,0.07400000000000001,0.0305,0.0165,0.02,4
M,0.64,0.5,large,1.4545,0.642,0.3575,0.354,9
M,0.39,0.3,tiny,0.3055,0.14300000000000002,0.0645,0.085,9
F,0.605,0.45,medium,1.2225,0.35700000000000004,0.20199999999999999,0.385,13
I,0.48,0.39,medium,0.6275,0.276,0.134,0.185,13
F,0.43,0.34,small,0.391,0.1555,0.095,0.1405,7
M,0.495,0.375,tiny,0.6245,0.282,0.14300000000000002,0.155,6
F,0.615,0.495,medium,1.0805,0.52,0.19,0.32,9
F,0.405,0.31,small,0.3095,0.138,0.057999999999999996,0.095,13
I,0.585,0.47,large,,0.3695,0.2395,0.315,10
